CORPORATE_IDENTIFICATION_NUMBER,Company_Name,Company_status,Company_class,Company_Category,Company_sub_category,DATE_OF_REGISTRATION,REGISTERED_STATE,AUTHORIZED_CAP,PAIDUP_CAPITAL,Industrial_Class,PRINCIPAL_BUSINESS_ACTIVITY_AS_PER_CIN,Registered_Office_Address,REGISTRAR_OF_COMPANIES,EMAIL_ADDR,Latest_Year_AR,Latest_Year_BS
U45201HP2018PTC007084,RUPI VALLEY INFRACON PROJECTS PRIVATELIMITED,Active,Private,Company limited by Shares,Non-govt company,03-07-18,Himachal Pradesh,1000000,100000,45201,Construction,"C/O SR AZAD, VILL JARAD BHUTTHI COLONY, P.O. SHAMSHI BHUNTAR , Kulu Unclassified HP 175126",RoC-Himachal Pradesh,hpcorporateservices@gmail.com,NA,NA
U45201HP2018PTC007111,HATESHWARI ENGINEERS & CONTRACTORSPRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,31-07-18,Himachal Pradesh,1000000,200000,45201,Construction,"C/O KAPIL DEV, VILL SHEKHAL, PO. DADI GUNSA, TEHSIL ROHRU DISTT. SHIMLA , Shimla Unclassified HP 171207",RoC-Himachal Pradesh,HBSJEET@GMAIL.COM,NA,NA
U45201HP2019PTC007324,DHARIWAL REAL ESTATES & CONSTRUCTIONSPRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,31-01-19,Himachal Pradesh,100000,100000,45201,Construction,"769, VILLAGE SIHARRI MUSLAMANA, POST OFFICE DHARAMPUR, TEHSIL KASAULI SOLAN , Solan Unclassified HP 173209",RoC-Himachal Pradesh,DHARIWALJK1979@GMAIL.COM,31-03-19,31-03-19
U45201HP2019PTC007451,MSC ROADS AND BRIDGES PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,08-05-19,Himachal Pradesh,100000,100000,45201,Construction,"H. No. 190A, Ward No.8, Near Dev Pal Chowk Hamirpur , Hamirpur Unclassified HP 177001",RoC-Himachal Pradesh,office.msc.hmr@gmail.com,31-03-20,31-03-20
U45201HP2019PTC007505,ADAMYA BUILDERS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,21-06-19,Himachal Pradesh,100000,100000,45201,Construction,"C/O RAMESH CHAND WARD NO - 5, KHANIYARA ROAD DHARAMSHALA , Kangra Unclassified HP 176215",RoC-Himachal Pradesh,sandyitc20@gmail.com,NA,NA
U45201HP2019PTC007530,ANSHAJ SMART WASTE MANAGEMENT PRIVATELIMITED,Active,Private,Company limited by Shares,Non-govt company,11-07-19,Himachal Pradesh,500000,10000,45201,Construction,"2241, VILL. BARI, P.O. DEHRA, KANGRA , Kangra Unclassified HP 177101",RoC-Himachal Pradesh,Ashish221singh@gmail.com,31-03-20,31-03-20
U45201HP2019PTC007545,UTRI CONSTRUCTIONS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,19-07-19,Himachal Pradesh,1000000,1000000,45201,Construction,"A-6, Block-A, Dhingu Mata Apartment Above Laxmi Narayan Mandir, Sanjauli , Shimla Unclassified HP 171006",RoC-Himachal Pradesh,utrishimla2@gmail.com,31-03-20,31-03-20
U45201HP2019PTC007662,NAGGAR INFRACON PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,19-10-19,Himachal Pradesh,1000000,100000,45201,Construction,"VILLAGE THARASS POST OFFICE HURLA - 1 KULLU , Kulu Unclassified HP 175125",RoC-Himachal Pradesh,narendersp09@gmail.com,31-03-20,31-03-20
U45201HP2020PTC007852,SUNDERNAGAR CONSTRUCTION PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,18-03-20,Himachal Pradesh,100000,100000,45201,Construction,"C/O SURINDER PAL, PUNGH, SUNDERNAGAR MANDI , Mandi Unclassified HP 174401",RoC-Himachal Pradesh,INDER.S2704@GMAIL.COM,NA,NA
U45201HP2020PTC007974,BARREN INFRA PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,22-07-20,Himachal Pradesh,1000000,100000,45201,Construction,"C/o Seema Kainth, Third Floor Kainth Villa, Tuti Kandi , HP 171004 Shimla , Shimla Unclassified HP 171004",RoC-Himachal Pradesh,sangeetaprakash0630@gmail.com,NA,NA
U45201HP2020PTC007975,NIOM INFRASTRUCTURE CONSTRUCTION PRIVATELIMITED,Active,Private,Company limited by Shares,Non-govt company,23-07-20,Himachal Pradesh,500000,100000,45201,Construction,"WARD NO. 25 NEAR MODREN DHABA OPP. NEW BUS STAND SOLAN , Solan Unclassified HP 173212",RoC-Himachal Pradesh,cpremthakur@gmail.com,NA,NA
U45201HP2020PTC008195,SUSHIL KUMAR PRASHAR (SKP) ENGINEERINGCONSTRUCTION PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,06-11-20,Himachal Pradesh,1000000,100000,45201,Construction,"06, 1st FLOOR, SHARMA MEDICOS BHUNTAR ROAD NEAR SABJI MANDI CHOWK Kulu , Kulu Unclassified HP 172125",RoC-Himachal Pradesh,cscadinesh@gmail.com,NA,NA
U45201HP2020PTC008248,ANSHUMAALI INFRASTRUCTURE PRIVATELIMITED,Active,Private,Company limited by Shares,Non-govt company,04-12-20,Himachal Pradesh,100000,100000,45201,Construction,"Sub Tehsil Junga, Bhalawag(Alampur), Janedghat, Shimla, Shimla , Shimla Unclassified HP 173217",RoC-Himachal Pradesh,ajinkyasalunkhe93@gmail.com,NA,NA
U45202HP1971PTC003028,CHOHAN AGRI PRODUCE PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,05-01-71,Himachal Pradesh,3000000,3000000,45202,Construction,"Forsythganj, Ward No. 1 Municipal Corporation Dharamshala P.O. Dharamshala Cantt. Dharamshala , Kangra Unclassified HP 176216",RoC-Himachal Pradesh,mschohan1945@gmail.com,31-03-20,31-03-20
U45202HP1972PTC010197,ASHOKA ALLOY STEELS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,15-01-72,Himachal Pradesh,30000000,20001000,45202,Construction,"VILLAGE MISHERWALAPOANTA SAHIB DISTT SIRMOUR HIMACHAL PRADESH , Unclassified HP 000000",RoC-Himachal Pradesh,ashishmg@hotmail.com,31-03-20,31-03-20
U45202HP1978PLC003895,BUBBER CHEMICALS LIMITED,Strike Off,Public,Company limited by Shares,Non-govt company,14-12-78,Himachal Pradesh,5000000,250000,45202,Construction,"73,GOVT.INDUSTRIAL ESTATE PAONTA SAHIB SIRMOUR , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
U45202HP1979PTC003920,HIMACHAL ENGINEERING CO PVT LTD,Active,Private,Company limited by Shares,Non-govt company,09-02-79,Himachal Pradesh,2000000,1994300,45202,Construction,"PLOT NO 53 INDUSTRIAL AREA, SECTOR 1 PARWANOO , Unclassified HP 173220",RoC-Himachal Pradesh,shreeganesh.pwn@gmail.com,31-03-20,31-03-20
U45202HP1980PTC004210,SARAO PAPER AND ALLIED PRODUCTS PVT LTD,Strike Off,Private,Company limited by Shares,Non-govt company,05-07-80,Himachal Pradesh,10000000,4207000,45202,Construction,"VIll- BATEHAR BAROTIWALA HIMACHAL PARDESH , Unclassified HP 000000",RoC-Himachal Pradesh,jainassociates1968@gmail.com,31-03-07,31-03-07
U45202HP1981PLC004732,ATUL CASTINGS LIMITED,Active,Public,Company limited by Shares,Non-govt company,25-11-81,Himachal Pradesh,20000000,12963100,45202,Construction,"VILL DHADIKANIATEH NALAGARH DISTT SOLAN HIMACHAL PRADESH , Unclassified HP 000000",RoC-Himachal Pradesh,jscoroc@gmail.com,31-03-17,31-03-17
U45202HP1982PTC004895,POWERKRAFT PVT LTD,Strike Off,Private,Company limited by Shares,Non-govt company,27-03-82,Himachal Pradesh,500000,2000,45202,Construction,"77 THE MALL SHIMLA SHIMLA , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
U45202HP1983PTC005305,ANU DETS PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,14-02-83,Himachal Pradesh,500000,3000,45202,Construction,"VILLN RAGUWAL NALAGARH BHARAT GARH ROAD NALAGARH , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
U45202HP1983PTC005433,ATAM ASSOCIATES PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,09-05-83,Himachal Pradesh,7500000,6500000,45202,Construction,"PLOT NO 12-SECTOR 3 PARWANOO SOLAN , Unclassified HP 173220",RoC-Himachal Pradesh,bhupinder.jain@atampost.com,31-03-20,31-03-20
U45202HP1983PTC005436,BASSI LABORATORIES PVT LTD,Strike Off,Private,Company limited by Shares,Non-govt company,10-05-83,Himachal Pradesh,300000,20000,45202,Construction,"HP UNA H P , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
U45202HP1983PTC005459,JAY PEE RUBBER INDUSTRIES PVT LTD,Active,Private,Company limited by Shares,Non-govt company,04-06-83,Himachal Pradesh,1100000,540000,45202,Construction,"PLOT NO 5INDUSTRIAL AREA BADDI DASTT SOLAN HIMACHAL PARDESH , Solan Unclassified HP 000000",RoC-Himachal Pradesh,legal@gem.net.in,31-03-20,31-03-20
U45202HP1983PTC005580,MAGNUM FASTEERS PVT LTD,Strike Off,Private,Company limited by Shares,Non-govt company,19-09-83,Himachal Pradesh,500000,4000,45202,Construction,"SEF 9 .SECTOR I PARWANOO DISTT SOLAN , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
U45202HP1984PTC005864,SANJAY MICRONS PVT LTD,Under Process of Striking off,Private,Company limited by Shares,Non-govt company,21-06-84,Himachal Pradesh,200000,10000,45202,Construction,"AMAR NIWAS SET NO II SUBZIMANDI SIMLA H P , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
U45202HP1984PTC005892,HIM STAR TOURISM PVT LTD,Strike Off,Private,Company limited by Shares,Non-govt company,12-06-84,Himachal Pradesh,500000,1020,45202,Construction,"13,Ram Nagar Dharmsala Kangra , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
U45202HP1984PTC006008,HIMACHAL COAL ANDOOKINGPVT LTD,Active,Private,Company limited by Shares,Non-govt company,13-11-84,Himachal Pradesh,250000,171000,45202,Construction,"VILL SANDULIPO BADDI DISTT SOLAN H P , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
U45202HP1984PTC007109,SOLCHROME PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,27-11-84,Himachal Pradesh,10000000,9089470,45202,Construction,"61 SECTOR VPARWANOO DISTT SOLAN HIMACHAL PRADESH , Unclassified HP 173220",RoC-Himachal Pradesh,solchrome@solchrome.com,31-03-20,31-03-20
U45202HP1985PTC006154,BHUTORIA CEMENT INDUSTRIES PVT LTD,Strike Off,Private,Company limited by Shares,Non-govt company,26-02-85,Himachal Pradesh,2500000,100000,45202,Construction,"Kala Amb HIMACHAL PARDESH , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
U45202HP1985PTC009910,BALBIR DISTILLERIES PRIVATE LIMITED,Amalgamated,Private,Company limited by Shares,Non-govt company,15-11-85,Himachal Pradesh,2500000,1500000,45202,Construction,"PLOT DNO 4HPSIDE INDUSTARIAL AREA BADDI DISTT SOLAN HIMACHAL PRADESH , Unclassified HP 173205",RoC-Himachal Pradesh,NA,NA,NA
U45202HP1986PLC006959,HIMACHAL ADVANCED CIRCUITS LIMITD,Under liquidation,Public,Company limited by Shares,Non-govt company,05-08-86,Himachal Pradesh,50000000,22139000,45202,Construction,"MINHAS HOUSE,VILLAGE BAGSARIVIA GARSE DISTT KULU H P , Unclassified HP 000000",RoC-Himachal Pradesh,vikram_701@rediffmail.com,31-03-06,NA
U45202HP1986PTC006761,HI TECH BRICLES PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,25-02-86,Himachal Pradesh,2500000,2000,45202,Construction,"HP DISTT MANDI HIMACHAL PRADESH , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
U45202HP1986PTC006913,JODHPUR COMMERCIAL PVT LTD,Strike Off,Private,Company limited by Shares,Non-govt company,23-06-86,Himachal Pradesh,100000,100000,45202,Construction,"MAIN BAZARNURPUR DISTT KANGRA H P , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
U45202HP1986PTC007026,A B BUILDERS AND LEASING PRIVATE LIMITED,Amalgamated,Private,Company limited by Shares,Non-govt company,24-09-86,Himachal Pradesh,10000000,8337000,45202,Construction,"Jain Ashram The Mall SHIMLA H P , Unclassified HP 171001",RoC-Himachal Pradesh,NA,NA,NA
U45202HP1987PLC007337,DRISH SHOES LIMITED,Active,Public,Company limited by Shares,Non-govt company,09-03-87,Himachal Pradesh,120000000,90628000,45202,Construction,"VILL RAJPURATEH NALAGARH DISTT SOLAN HIMACHAL PRADESH , Unclassified HP 000000",RoC-Himachal Pradesh,drish@drish.com,31-03-20,31-03-20
U45202HP1987PLC007720,GALAXY HYDEL ENERGY DEVELOPMENT COLIMITED,Active,Public,Company limited by Shares,Non-govt company,07-10-87,Himachal Pradesh,75000000,66141500,45202,Construction,"VILLAGE & POST OFFICE BAJAURA BAJAURA , Unclassified HP 175125",RoC-Himachal Pradesh,galaxyhydel@gmail.com,31-03-19,31-03-19
U45202HP1987PTC007468,REGENT HOLIDAY HOMES PVT LTD,Active,Private,Company limited by Shares,Non-govt company,14-05-87,Himachal Pradesh,20000000,18401000,45202,Construction,"The Fern Surya Resort Village Mangothi, Tehsil Kasauli Dharampur , Solan Unclassified HP 173209",RoC-Himachal Pradesh,regentholidayhomes@gmail.com,31-03-20,31-03-20
U45202HP1987PTC007563,JANINDERA K WIRES PVT LTD,Active,Private,Company limited by Shares,Non-govt company,21-07-87,Himachal Pradesh,2500000,1745500,45202,Construction,"G T ROAD CHHANNTP O DAMTAL TEH INDORA HIMACHAL PARDESH , Unclassified HP 176403",RoC-Himachal Pradesh,janinderakwirespvtltd@rediffmail.com,31-03-20,31-03-20
U45202HP1987PTC007613,AJAY CONTAINERS PVT LTD,Strike Off,Private,Company limited by Shares,Non-govt company,18-08-87,Himachal Pradesh,300000,200,45202,Construction,"C/O MRS BIMAL,SYALSUIT NO 25 LONGOWOOD SIMLA H P , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
U45202HP1987PTC007635,IBEX CREVASSE HOTELS PRIVATE LTD,Active,Private,Company limited by Shares,Non-govt company,12-11-87,Himachal Pradesh,5000000,5000000,45202,Construction,"V RANGARIP O MANALI DISTT KULLU HIMACHAL PRADESH , Unclassified HP 000000",RoC-Himachal Pradesh,hsthakurca@yahoo.com,31-03-20,31-03-20
U45202HP1987PTC007713,ALFA MOULDING INDUSTRIES PVT LTD,Active,Private,Company limited by Shares,Non-govt company,05-10-87,Himachal Pradesh,10000000,2558500,45202,Construction,"PLOT NO 12 INDUSTRIAL AREASECTOR 1 PARW DISTT SOLAN HIMACHAL PRADESH , Unclassified HP 173220",RoC-Himachal Pradesh,alfamoulding@gmail.com,31-03-20,31-03-20
U45202HP1989PLC009809,NANNU HOLDINGS LIMITED,Active,Public,Company limited by Shares,Non-govt company,25-10-89,Himachal Pradesh,20000000,17770000,45202,Construction,"V.P.O. SAPROON, SOLAN SOLAN , Unclassified HP 000000",RoC-Himachal Pradesh,nannuholding@yahoo.com,31-03-20,31-03-20
U45202HP1989PTC009650,TIRLOKPUR BOARDS PVT LTD,Active,Private,Company limited by Shares,Non-govt company,29-08-89,Himachal Pradesh,3000000,2565200,45202,Construction,"TIRLOKPUR ROADKALA AMB SIRMPUR HP , Unclassified HP 173030",RoC-Himachal Pradesh,daljeetruchira1@ymail.com,31-03-20,31-03-20
U45202HP1990PTC029003,BINWA POWER COMPANY PVT LIMITED,Active,Private,Company limited by Shares,Non-govt company,01-03-90,Himachal Pradesh,6000000,5984583,45202,Construction,"Near Chimbalhaar Home Stay Chimbalhaar, P.O Geetapeeth Palampur , Kangra Unclassified HP 176061",RoC-Himachal Pradesh,skpclcosec@spmlenergy.com,31-03-20,31-03-20
U45202HP1994PTC014163,HIM GOLD LAND DEVELOPMENT PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,27-01-94,Himachal Pradesh,200000,3000,45202,Construction,"MANDI HIMACHAL PRADESH , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
U45202HP1994PTC014550,HIM BUILDERS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,10-05-94,Himachal Pradesh,1000000,492000,45202,Construction,"VILL.GULLARWALAP.O. BADDI,DISTT.SOLAN HIMACHAL PRADESH himachal pradesh , Solan Unclassified HP 000000",RoC-Himachal Pradesh,ca.rkg80@gmail.com,31-03-11,31-03-11
U45202HP1998PLC029718,INDOCO HEALTHCARE LIMITED,Amalgamated,Public,Company limited by Shares,Non-govt company,04-09-98,Himachal Pradesh,100000000,49000000,45202,Construction,"Village Katha, P.O. Baddi, Teh. Nalagarh, Distt. Solan. , Unclassified HP 000000",RoC-Himachal Pradesh,indoco@bom5.vsnl.net.in,30-06-06,30-06-06
U45202HP1998PTC021176,DURGA COLONISERS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,16-03-98,Himachal Pradesh,1000000,24000,45202,Construction,"NG 62PARBHAT NAGAR JALANDHAR PUNJAB , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
U45202HP1998PTC021220,HEM BUILDERS AND COLONIZERS PRIVATELIMITED,Active,Private,Company limited by Shares,Non-govt company,26-03-98,Himachal Pradesh,1000000,350000,45202,Construction,"KAMAL KUNJTANK ROAD SOLAN HIMACHAL PRADESH , Solan Unclassified HP 000000",RoC-Himachal Pradesh,contact@anmolsharma.com,31-03-18,31-03-18
U45202HP2000PTC023391,PMV CONSTRUCTION COMPANY PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,21-02-00,Himachal Pradesh,500000,3000,45202,Construction,"CHAUDHARY NIWAS CHATROKHARISUNDER NAGAR DISTT MANDI H P , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
U45202HP2000PTC023398,J S G ENGINEERING WORKS PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,21-02-00,Himachal Pradesh,2500000,980000,45202,Construction,"Village &P.O. Raison, Teh. & Distt. Kullu , Unclassified HP 175129",RoC-Himachal Pradesh,ira910@aol.com,31-03-09,31-03-09
U45202HP2001PTC024274,DHAULADHAR BUILDERS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,16-03-01,Himachal Pradesh,500000,247500,45202,Construction,"VILL. BODH P O JASSURTEH NURPUR DISTT KANGRA HIMACHAL PRADESH , Unclassified HP 000000",RoC-Himachal Pradesh,panjolia@gmail.com,31-03-20,31-03-20
U45202HP2001PTC029000,AWA POWER COMPANY PVT. LIMITED,Active,Private,Company limited by Shares,Non-govt company,18-05-01,Himachal Pradesh,36800000,36662470,45202,Construction,"Near Chimbalhaar Home Stay Chimbalhaar, P.O Geetapeeth Palampur , Kangra Unclassified HP 176061",RoC-Himachal Pradesh,ajay@spmlenergy.com,31-03-20,31-03-20
U45202HP2001PTC029001,NEOGAL POWER COMPANY PVT LIMITED,Active,Private,Company limited by Shares,Non-govt company,18-05-01,Himachal Pradesh,39000000,38297161,45202,Construction,"Near Chimbalhaar Home Stay Chimbalhaar, P.O Geetapeeth Palampur , Kangra Unclassified HP 176061",RoC-Himachal Pradesh,ajay@spmlenergy.com,31-03-20,31-03-20
U45202HP2001PTC029002,IQU POWER COMPANY PVT LIMITED,Active,Private,Company limited by Shares,Non-govt company,18-05-01,Himachal Pradesh,37500000,36878316,45202,Construction,"Near Chimbalhaar Home Stay Chimbalhaar, P.O Geetapeeth Palampur , Kangra Unclassified HP 176061",RoC-Himachal Pradesh,ajay@spmlenergy.com,31-03-20,31-03-20
U45202HP2003PTC026018,PEE ESS ESS BUILDERS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,20-05-03,Himachal Pradesh,1000000,1000000,45202,Construction,"156 IITARNA ROAD DISTT MANDI HIMACHAL PRADESH , Mandi Unclassified HP 175001",RoC-Himachal Pradesh,prithi33@gmail.com,31-03-20,31-03-20
U45202HP2003PTC026527,DEVANSH CONSTRUCTION CO PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,12-11-03,Himachal Pradesh,100000,100000,45202,Construction,"VILL JHARMAJARIP O BAROTIWALA DISTT SOLAN HIMACHAL PRADESH , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
U45202HP2005PLC008845,HIMALYAN PLASTICS LIMITED,Active,Public,Company limited by Shares,Non-govt company,29-09-05,Himachal Pradesh,10000000,7900000,45202,Construction,"PLOT NO 9INDUSTRIAL AREA CHAMBAGHAT SOLAN , Unclassified HP 000000",RoC-Himachal Pradesh,himalyanplastic@yahoo.com,NA,NA
U45202HP2006PTC029645,SNOW WATER HYDRO POWER PVT LTD,Strike Off,Private,Company limited by Shares,Non-govt company,03-02-06,Himachal Pradesh,100000,100000,45202,Construction,"BEHIND INDIA OIL DEPORTMOHAL KULLU HIMACHAL PRADESH , Unclassified HP 000000",RoC-Himachal Pradesh,ira910@live.in,31-03-08,31-03-08
U45202HP2006PTC029695,KOTESHWARI CONSTRUCTION PVT LTD,Strike Off,Private,Company limited by Shares,Non-govt company,13-02-06,Himachal Pradesh,100000,100000,45202,Construction,"VILL SHILLA P O KHARANNANKHARI DISTT SHIMLA H P , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
U45202HP2006PTC029723,CARE SOFT HOSPITAL PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,16-02-06,Himachal Pradesh,1000000,100000,45202,Construction,"DISTT MANDI himachal pradesh , Unclassified HP 000000",RoC-Himachal Pradesh,CA_NARESHMANDI@YAHOO.CO.IN,31-03-14,31-03-14
U45202HP2006PTC029724,EAGLE HYDRO POWER PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,16-02-06,Himachal Pradesh,1000000,100000,45202,Construction,"VILL. BASHING P.O BABELI TEHSIL & DISTT KULLU , Kulu Unclassified HP 000000",RoC-Himachal Pradesh,hsthakurca2008@gmail.com,NA,NA
U45202HP2006PTC029842,PARAM SHRI CONSTRUCTION PVT LTD,Strike Off,Private,Company limited by Shares,Non-govt company,23-02-06,Himachal Pradesh,500000,100000,45202,Construction,"VILL.BASHING,P.O. BABELI,DISTT. KULLU . H.P. DISTT. KULLU . H.P. , Kulu Unclassified HP 000000",RoC-Himachal Pradesh,ca_nareshmandi@yahoo.co.in,NA,NA
U45202HP2006PTC029864,KAPIL EXPO-TRADES PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,09-03-06,Himachal Pradesh,300000,300000,45202,Construction,"JAI PARKASH BHAWAN V.P.O. DHARAM PUR, TECH.KASAULI, DISTT. SOLAN. ( H.P.) , Unclassified HP 173209",RoC-Himachal Pradesh,kapiltrade@rediffmail.com,31-03-20,31-03-20
U45202HP2006PTC029865,MADHAV BIOTECH PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,09-03-06,Himachal Pradesh,2000000,2000000,45202,Construction,"AMAR BUILDINGNEAR RAILWAY CROSSING CHAMBAGHAT SOLAN H P , Unclassified HP 000000",RoC-Himachal Pradesh,madhavbiotechsolan@gmail.com,31-03-20,31-03-20
U45202HP2006PTC029876,KATHLA HYDRO ENERGIES PVT LTD,Under Process of Striking off,Private,Company limited by Shares,Non-govt company,10-03-06,Himachal Pradesh,1500000,100000,45202,Construction,"G T ROADGAGGAL KANGRA HIMACHAL PRADESH , Unclassified HP 000000",RoC-Himachal Pradesh,akshay.gaggal@gmail.com,31-03-19,31-03-19
U45202HP2006PTC029917,GLEN HOTELS AND RESORTS PVT LTD,Under Process of Striking off,Private,Company limited by Shares,Non-govt company,23-03-06,Himachal Pradesh,100000,100000,45202,Construction,"E-10, Shant Lok Jakhoo Shimla , Shimla Unclassified HP 171002",RoC-Himachal Pradesh,caashwaniverma@gmail.com,31-03-09,31-03-09
U45202HP2006PTC029954,NIRMAN TRADE LINK INDIA PVT LTD,Active,Private,Company limited by Shares,Non-govt company,29-03-06,Himachal Pradesh,2000000,960000,45202,Construction,"NH- 21-RANI KA BAGH, GUTKAR DISTT MANDI H P , Unclassified HP 000000",RoC-Himachal Pradesh,nirman_tradelink@yahoo.co.in,31-03-20,31-03-20
U45202HP2006PTC030004,PARABOLIC PROPERTIES PVT LTD,Active,Private,Company limited by Shares,Non-govt company,07-04-06,Himachal Pradesh,1100000,1100000,45202,Construction,"SHOP 7 OPP STATE BANK OFPATIALA SECTOR 1 PARWANOO H P , Unclassified HP 000000",RoC-Himachal Pradesh,goyal_anjum@yahoo.com,31-03-19,31-03-19
U45202HP2006PTC030005,AJIT ENERGY PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,07-04-06,Himachal Pradesh,500000,400000,45202,Construction,"HIGHVALLEY APARTMENTS BADDI BAROTIWALA ROAD VILLAGE BATED BADDI , Unclassified HP 174103",RoC-Himachal Pradesh,suneet@ajitindustries.com,31-03-20,31-03-20
U45202HP2006PTC030006,J S ENERGY PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,07-04-06,Himachal Pradesh,500000,350000,45202,Construction,"HIGHVALLEY APARTMENTS BADDI BAROTIWALA ROAD, BADDI Baddi , Unclassified HP 174103",RoC-Himachal Pradesh,suneet@ajitindustries.com,31-03-20,31-03-20
U45202HP2006PTC030009,DEVDHARA CONSTRUCTIONS PVT LTD,Strike Off,Private,Company limited by Shares,Non-govt company,10-04-06,Himachal Pradesh,100000,100000,45202,Construction,"VILL. & P.O. KATRAIN, DISTT KULLU H P , Unclassified HP 175126",RoC-Himachal Pradesh,NA,NA,NA
U45202HP2006PTC030044,MANAK POWER SYSTEMS PVT LTD,Active,Private,Company limited by Shares,Non-govt company,13-04-06,Himachal Pradesh,5000000,100000,45202,Construction,"VILL CHAMREHAR P O JALPEHARTEH JOGINDER NAGAR DISTT MANDI H P , Unclassified HP 000000",RoC-Himachal Pradesh,manak.power@rediffmail.com,31-03-19,31-03-19
U45202HP2006PTC030062,HIMCOM SYSTEMS PVT LTD,Strike Off,Private,Company limited by Shares,Non-govt company,18-04-06,Himachal Pradesh,100000,100000,45202,Construction,"KIRPA BHAVANNEW ROAD HAMIRPUR H P , Hamirpur Unclassified HP 000000",RoC-Himachal Pradesh,himcomsystems@yahoo.com,31-03-10,31-03-10
U45202HP2006PTC030066,PARATH FLEX PLASTIC PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,19-04-06,Himachal Pradesh,100000,100000,45202,Construction,"VILL MAN PURANALAGARH DISTT SOLAN H P , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
U45202HP2006PTC030068,TIBETAN TECHNOLOGY CDENTRE PRIVATELIMITED,Active,Private,Company limited by Shares,Non-govt company,19-04-06,Himachal Pradesh,100000,100000,45202,Construction,"UPPER T C V SCHOOL DHARAMSALAL CANTT DISTT KANGRA , Unclassified HP 176216",RoC-Himachal Pradesh,tibtech@gmail.com,31-03-20,31-03-20
U45202HP2006PTC030082,BALA SUNDRI GASES PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,20-04-06,Himachal Pradesh,2500000,1800000,45202,Construction,"TRILOKPUR ROAD KALA AMB DISST SIRMAUR , Unclassified HP 000000",RoC-Himachal Pradesh,pinumittal@yahoo.com,31-03-20,31-03-20
U45202HP2006PTC030086,POSSIBLE AUTOMOBILES PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,20-04-06,Himachal Pradesh,5000000,5000000,45202,Construction,"VOLL AMBATA MUBARKPUR ROADGAGREATE TEH AMB UNA H P , Unclassified HP 000000",RoC-Himachal Pradesh,mittaldinesh281@rediffmail.com,31-03-20,31-03-20
